Year,Month,Day,Time (in MPH),Speed
2020,04,22,17:05:42,83.43790353751838
2020,04,22,17:05:45,56.133029339355765
2020,04,22,17:05:49,47.18657605685281
2020,04,22,17:05:54,51.35834608867805
2020,04,22,17:05:57,57.47723103597142
